指標名稱,相似度,片段內容
G-1-1,0.8223990598604598,"氣候相關財務揭露工作小組每年定期執行氣候風險與機會辨識流程，執行氣
候風險與機會質化 /量化分析，並依據評估結果針對各項風險與機會研擬因應
策略，每月進行監控與報告，提報風險管理委員會及董事會。
時間區間 短期 中期 長期
年度1年以內 
（2022年）1 至 7 年 
（2023-2029 年）7年以上
（2030年~）影響程度 定義
不相關 無財務影響或效益
輕度 財務影響或效益低於新臺幣 5,000萬元
中度 財務影響或效益介於新臺幣 5,000萬元 ~1億元
高度 財務影響或效益超過新臺幣 1億元
圖 3   氣候風險與機會辨識流程STEP
1STEP
4
STEP
2STEP
5"
G-1-1,0.8164689772015528,"圖」之要求，每季提報董事會控管進度。於此同時，永續經營委員會負責氣候議題的決策事項，並定期審核氣候風險相關財務揭露報告書。
每月定期由總經理擔任主任委員舉行風險管理委員會會議，主要成員為副總經理、總機構法令遵循主管及授信管理處、風險管理處、債權管理處、財務管理處、作業處、資訊安全處等
單位主管擔任。負責定期監控氣候風險之暴險狀況，檢視銀行在不同氣候情境下之因應策略是否具有韌性。
有關彰化銀行之氣候治理架構如下方圖 2 ；而該架構下各單位之會議頻率及於氣候議題之角色請見下方表 1 。
圖 2   彰化銀行氣候治理架構 表1   彰化銀行氣候治理架構下各單位會議頻率與氣候議題角色
彰化銀行董事會"
G-1-1,0.8145044602820368,"2022氣候相關財務揭露 TCFD報告書  41氣 候 治 理
氣 候 策 略
氣 候 風 險 管 理
管 理 氣 候 影 響 力
氣 候 指 標 與 目 標
未 來 展 望
附 錄附錄  TCFD 核心要素對照表
治理描述董事會對氣候相關風險與機會的監督。1-2 氣候治理架構 - 董事會
1-2 氣候治理架構 - 功能性委員會
描述管理階層在評估和管理氣候相關風險與機會方面的角色。 1-2 氣候治理架構 -管理階層 (業務單位 )
策略描述組織鑑別的短、中、長期氣候相關風險與機會。3-1 氣候風險鑑別結果
4-1 氣候機會鑑別結果"
G-1-1,0.8074988212861307,"前 言
關 於 本 報 告 書
02  前言氣候相關財務資訊揭露的核心要素本報告書以彰化銀行的營運活動作為本次揭露邊界。營運邊界
本報告書報告範疇為西元 (下同 )2021年1月1日至 2021年12月31日。報告範疇
本報告書依循國際金融穩定委員會 (Financial Stability Board, FSB) 之「氣候相關財務揭露建議」(Recommendations of the Task Force on Climate-related Financial Disclosures, 以"
G-1-1,0.8066241055921356,"維護客戶權益及使彰化銀行人員、財務之損害減至最小，內容包含「災害防護與應變
措施」章節，倘因氣候相關災害事故發生導致資訊帳務系統無法及時修復或營業場所
無法營運使用，相關單位亦訂有應變計畫可供通報及應變之依循，以避免災害導致營
運中斷之情形。
當營運中斷事故發生後，相關業務管理單位應檢討事件發生原因及經過，依業務權責範
圍提出改善措施或應注意之處，隨時將處理與改善情形逐級陳報至原通報層級。風險管
理處應追蹤相關業務管理單位之改善計畫，視事故情況請其向風險管理委員會報告，並
由風險管理委員會彙整於每季之「風險管理報告書」轉陳至董事會報告。"
G-1-1,0.8056814702517652,"圖 2   彰化銀行氣候治理架構 表1   彰化銀行氣候治理架構下各單位會議頻率與氣候議題角色
彰化銀行董事會
每季陳報風險管理報告
含氣候風險管理議題氣候相關財務揭露
(TCFD)工作小組
風險管理處主責風險管理委員會
由總經理擔任主任委員永續經營委員會
由董事長、3 位獨立董事及
總經理擔任委員
永續發展執行小組
副總經理擔任總負責人單位召集人 /
主責單位開會頻率 氣候議題角色
董事會 董事長 每月一次 (章
程規定至少每
季一次 )氣候議題最高治理單位，積極關注
氣候變遷議題以掌握與彰化銀行相
關之氣候相關風險與機會。
永續經營委員會 董事長每年至少二
次，必要時得"
G-1-1,0.8049833498530308,"董事會 董事長 每月一次 (章
程規定至少每
季一次 )氣候議題最高治理單位，積極關注
氣候變遷議題以掌握與彰化銀行相
關之氣候相關風險與機會。
永續經營委員會 董事長每年至少二
次，必要時得
隨時召集推動永續發展執行、協調建立相關
制度、督導檢視政策之執行情形及
其成效，定期審核相關執行報告。
風險管理委員會 總經理 每月一次監控氣候風險之暴險狀況，檢視銀
行在不同氣候情境下之因應策略是
否具有韌性。
永續發展
執行小組副總經理 固定開會由永續經營委員會指派 1名副總經
理擔任總負責人，並依各工作分組
(公司治理、責任金融、員工照護、
社會共融及環境永續 )，執行包含氣"
G-1-2,0.8086434664714138,"前 言
關 於 本 報 告 書
02  前言氣候相關財務資訊揭露的核心要素本報告書以彰化銀行的營運活動作為本次揭露邊界。營運邊界
本報告書報告範疇為西元 (下同 )2021年1月1日至 2021年12月31日。報告範疇
本報告書依循國際金融穩定委員會 (Financial Stability Board, FSB) 之「氣候相關財務揭露建議」(Recommendations of the Task Force on Climate-related Financial Disclosures, 以"
G-1-2,0.8040878346892956,"圖」之要求，每季提報董事會控管進度。於此同時，永續經營委員會負責氣候議題的決策事項，並定期審核氣候風險相關財務揭露報告書。
每月定期由總經理擔任主任委員舉行風險管理委員會會議，主要成員為副總經理、總機構法令遵循主管及授信管理處、風險管理處、債權管理處、財務管理處、作業處、資訊安全處等
單位主管擔任。負責定期監控氣候風險之暴險狀況，檢視銀行在不同氣候情境下之因應策略是否具有韌性。
有關彰化銀行之氣候治理架構如下方圖 2 ；而該架構下各單位之會議頻率及於氣候議題之角色請見下方表 1 。
圖 2   彰化銀行氣候治理架構 表1   彰化銀行氣候治理架構下各單位會議頻率與氣候議題角色
彰化銀行董事會"
G-1-3,0.8357492427136796,"前 言
關 於 本 報 告 書
2022氣候相關財務揭露 TCFD報告書  01近年來全球面臨極端氣候的嚴峻考驗，熱浪、水患頻襲、糧食短缺、能源危機等，據聯合國氣候變遷專門委員會公布最新氣候變遷評估報告，強調只要全球暖化升溫超過 1.5° C，對生態
或是人類系統的風險將大幅升高；而且升溫越多，人類將越無法調適。此等全球暖化氣候變遷問題可能演變為信用、市場、流動性及作業風險等系統性金融危機，面對氣候挑戰，從京都
議定書、巴黎協定至格拉斯哥協議，淨零趨勢已形成全球共識，在 2021年底第 26 屆聯合國氣候變遷會議中成立的「格拉斯哥淨零金融聯盟」，在會中宣示將於 2050年達成淨零排放目標。"
