指標名稱,相似度,片段內容
G-1-1,0.8351099107966742,"氣候相關財務揭露工作小組 監督企業風險管理政策的施行狀況，包含名譽和永續風險及氣候風險。
氣候相關議題呈報頻率
永續發展委員會（註 2）總覽 指標與目標 治理 策略 風險管理 前瞻性聲明 重要公告
03 渣打國際商業銀行 -2022 氣候相關財務揭露報告書（註 2）  該委員會成立於 2023 年 1 月，並於 2023 年 4 月舉行第一次會議。"
G-1-1,0.8178613096849295,"（ 環境 、 社會 、 公司治理 ） 、 永續報告
書、年報本行企業客戶之氣候風險評估架構
治理與揭露
總實體風險
實體風險調適措施
總體轉型風險
轉型風險管控措施 
渣打國際商業銀行 -2022 氣候相關財務揭露報告書 11"
G-1-1,0.8175414835025181,"16. 儘管已盡合理注意，編寫本文件的本行及其所屬關聯方、董事、經理人、員工或代理人並不對其品質、準確總覽 指標與目標 治理 策略 風險管理 前瞻性聲明 重要公告
渣打國際商業銀行 -2022 氣候相關財務揭露報告書 19      性或完整性作出任何聲明或保證，並且他們不對本訊息的內容 （包括任何事實、遺漏或表達的意見的錯誤） 承
      擔任何責任或負有任何責任。
本文件中的任何內容，您應行使自己的獨立判斷 （必要時可以諮詢您的專業顧問） ，以評估相關風險及後果。
本行及其關聯方、董事、經理人、員工或代理人明確聲明，對於您因使用或依賴本資訊而採取的任何決策或行動或所"
G-1-1,0.8165379676583401,"「本國銀行氣候風險財務揭露指引」 ，完成本行第一份氣候相關財務揭露報告書。本報告聚焦於治理、策略、風險管理
以及指標和目標等四個核心面向，以展現我們積極應對氣候變遷所帶來的影響，並建立信任關係的決心。
構面
治理 2
3
5
5
6
6
7
8
9
9
10
14
16
16描述短期、中期和長期氣候相關風險與機會 策略 
風險管理 
指標與目標描述管理層在評估和管理氣候相關風險與機會的職責描述董事會對氣候相關風險與機會的監督情況
•  治理委員會和工作小組
•  教育訓練
•  獎酬機制•  氣候相關治理架構  TCFD 建議內容 對應章節 頁數"
G-1-1,0.8056562288068937,"•  治理委員會和工作小組
•  教育訓練
•  獎酬機制•  氣候相關治理架構  TCFD 建議內容 對應章節 頁數
描述管理氣候相關風險與機會時，使用的目標及該目標落
實的情形
描述辨識和評估氣候相關風險的流程 •  氣候風險管理作法
描述氣候相關風險的管理流程 •  財務和非財務風險管理
描述辨識、評估和管理氣候相關風險 （包括 2°C 或更嚴苛的情境 ） 的流程如何整合在整體風險管理制度
描述不同氣候變遷情境下組織的策略韌性•  氣候風險管理流程
•  情境分析與壓力測試
揭露依循其策略和風險管理流程評估氣候相關風險與機會
時使用的指標"
G-1-1,0.8043303939891155,"其中包括聲譽風險、永續風險以及氣候風險。   
我們於 2023 年1月成立永續發展委員會 （ 「委員會」 ） ，在董事會的授權下履行部分董事會職能，包括核准本行在台灣的
永續發展策略，並監督實施進程。該委員會也確保相關部門具有足夠的資源支持永續發展規劃藍圖 （包含氣候風險） 。  渣打銀行董事會 
高階管理團隊
氣候相關財務揭露小組 溫室氣體盤查工作小組風險管理委員會  永續發展委員會
業務和職能單位
（部分職能由渣打集團內部氣候專家支援）  
治理永續發展推動小組總覽 指標與目標 治理 策略 風險管理 前瞻性聲明 重要公告
渣打國際商業銀行 -2022 氣候相關財務揭露報告書 02"
G-1-1,0.8018557938916278,"描述不同氣候變遷情境下組織的策略韌性•  氣候風險管理流程
•  情境分析與壓力測試
揭露依循其策略和風險管理流程評估氣候相關風險與機會
時使用的指標
揭露範疇一、範疇二和範疇三 （如適用） 溫室氣體排放和相
關風險•  減碳目標•  財務和非財務風險管理相
   關指標
總覽•   因應氣候變遷之策略做法
•   減碳行動
•   高碳排產業曝險總覽 指標與目標 治理 策略 風險管理 前瞻性聲明 重要公告
在本報告中，渣打國際商業銀行 Standard Chartered Bank （Taiwan） Limited 被稱為 「渣打銀行」 、 「本行」 或 「我們」 （除非在報告中"
G-1-1,0.8009806138045565,"治理
治理架構上，渣打銀行以董事會、高階管理團隊和多個功能性工作小組共同監督氣候變遷及其相關風險、機會和對組
織之影響。
氣候相關治理架構
圖一 渣打銀行氣候相關治理架構總覽  
董事會  
本行之董事會負責長期健全經營公司，其功能性委員會將氣候相關風險和機會納入決策之檢視與考量。
本行已將氣候風險納入企業風險管理政策 （ERMF） ，以監督氣候變遷及社會反應可能產生之財務和非財務損失影響。董
事會負責核准氣候風險胃納聲明、企業風險管理制度、台灣經營策略和五年公司計劃。
董事會管理作法"
G-1-1,0.8009189140623514,"事會負責核准氣候風險胃納聲明、企業風險管理制度、台灣經營策略和五年公司計劃。
董事會管理作法
為了維持健全的內部控制和風險管理系統，董事會已指派風險管理委員會 （ ERC） 以確保在支持渣打集團和渣打銀行的
策略下，就本行的整體風險進行有效管理。風險管理委員會負責監督企業風險管理政策和風險管理程序的有效實行，
其中包括聲譽風險、永續風險以及氣候風險。   
我們於 2023 年1月成立永續發展委員會 （ 「委員會」 ） ，在董事會的授權下履行部分董事會職能，包括核准本行在台灣的"
G-1-2,0.8266721627997712,"16. 儘管已盡合理注意，編寫本文件的本行及其所屬關聯方、董事、經理人、員工或代理人並不對其品質、準確總覽 指標與目標 治理 策略 風險管理 前瞻性聲明 重要公告
渣打國際商業銀行 -2022 氣候相關財務揭露報告書 19      性或完整性作出任何聲明或保證，並且他們不對本訊息的內容 （包括任何事實、遺漏或表達的意見的錯誤） 承
      擔任何責任或負有任何責任。
本文件中的任何內容，您應行使自己的獨立判斷 （必要時可以諮詢您的專業顧問） ，以評估相關風險及後果。
本行及其關聯方、董事、經理人、員工或代理人明確聲明，對於您因使用或依賴本資訊而採取的任何決策或行動或所"
