指標名稱,相似度,片段內容
G-1-1,0.8345268049827574,"策，定期將相關執行成果陳報董事會 。
透過各高階管理階層委員會實質督促氣候相關行動之執行，各部處依其職掌
落實氣候相關職責，進而有效落實由上而下之氣候治理架構，以及由下至上
之追蹤機制，有效展現本行氣候韌性 。各部處氣候相關職責，詳參本報告書
「3.1.2 氣候風險管理三道防線架構 」 。風險管理委員會在氣候治理面，負責評估本行所面臨的氣候變遷實體及轉型
風險 ，鑑別本行所面臨氣候相關風險與機會 ，並訂定與落實因應策略 ，每
年定期檢視全行重大氣候相關風險與機會 ，並將鑑別報告提報董事 （ 常務董
事 ） 會確認 。
經營管理委員會"
G-1-1,0.8338193069102293,"左下表 。銀行風險資訊彙整和內部風險資訊陳報機制 ， 為氣候治理和風險管理的基
石，本行建立完善的氣候資訊陳報機制，明訂於內部作業流程中，以利董事
會層級及高階管理階層得以隨時取得正確且充分之資訊，作為決策參考及對
外溝通之重要依據 。
 1.1.1 董事會權責
臺灣企銀董事會為全行氣候議題最高治理層級，透過董事會層級之永續發展
委員會，實質監督氣候治理相關進程，由董事長、總經理與三位獨立董事組
成，並由董事長擔任主任委員，定期監督與確認各項永續發展策略及重大性
議題 （ 包含氣候變遷 ） 執行成效，並視實際情形下達決策 。
監督氣候行動方案
推展進度 定期檢視氣候相關目標之達成情形 。"
G-1-1,0.828172493220164,"策略描述董事會對氣候相關風險與
機會的監督 。
描述管理階層在評估和管理氣
候相關風險與機會方面的角色。
描述組織鑑別的短 、 中 、 長期
氣候相關風險與機會 。
描述衝擊組織在業務、策略和財
務規劃的氣候相關風險與機會。
描述組織在策略上的韌性 ， 並
考量不同氣候相關情境 （包括
2˚C或更嚴苛的情境 ） 。
描述組織在氣候相關風險的鑑
別和評估流程 。
描述組織在氣候相關風險的管
理流程 。
描述氣候相關風險的鑑別 、 評
估和管理流程如何整合在組織
的整體風險管理制度 。1.1.1 董事會職責
1.1.2 高階管理階層職責
2.1.1 氣候相關風險議題鑑別"
G-1-1,0.8167738885771049,"風險 ，鑑別本行所面臨氣候相關風險與機會 ，並訂定與落實因應策略 ，每
年定期檢視全行重大氣候相關風險與機會 ，並將鑑別報告提報董事 （ 常務董
事 ） 會確認 。
經營管理委員會
經營管理委員會在全行永續發展策略面，由各項永續議題職責單位，每月報
告永續相關專案 （包含氣候與環境相關議題） 執行進度 ，綜整包含氣候相關
議題在內的永續議題 。
環境永續推動委員會
環境永續推動委員會負責本行日常營運之環境永續推動，發展永續環境政策
與目標，並執行相關措施；每年定期召開能源管理會議及能源管理系統內部
稽核會議，追蹤與管理能源與永續環境相關績效 。"
G-1-1,0.8166585326527305,"理流程 。
描述氣候相關風險的鑑別 、 評
估和管理流程如何整合在組織
的整體風險管理制度 。1.1.1 董事會職責
1.1.2 高階管理階層職責
2.1.1 氣候相關風險議題鑑別
2.1.3 氣候變遷風險與機會管理2.1.2 氣候相關機會議題鑑別
4.1 低碳金融服務
3.1 氣候風險管理架構
3.2 投融資活動氣候風險管理2.2 情境分析
2.1 氣候相關風險與機會
治理
風險
管理"
G-1-1,0.813147362996985,"關於報告書
揭露期間
編製依據
外部保證本報告書涵蓋範圍為臺灣企銀在臺灣 、 8家海外分行及子 、孫公司之營運 ，
闡明在整體營運過程中，鑑別與評估氣候變遷相關風險與機會的方法，並採
取相關措施，以因應本行面臨的氣候相關風險與機會；期與各方利害關係人
在氣候議題上，有實質且良好的溝通與互動 。
臺灣中小企業銀行股份有限公司 （ 簡稱本行 ） 、 8家海外分行及子 、孫公
司之營運活動與服務，為本次揭露範疇核心 。
資料涵蓋 2022 年1月1日至2022 年12月31日 ， 部分內容涵蓋本報告書
編製過程中 （ 即 2023 年 ） 之事件 。"
G-1-1,0.8131133083433881,"目錄
目錄 02
關於報告書  03
臺灣企銀氣候治理里程碑  04
年度氣候相關績效  05
CH1 氣候治理  06
1.1 氣候治理架構  06
 1.1.1 董事會權責  07
 1.1.2 高階管理階層職責  08
 1.1.3 氣候治理文化建構  09
1.2 氣候績效連結機制  10
CH2 氣候策略  11
2.1 氣候相關風險與機會  11
 2.1.1 氣候相關風險議題鑑別  15
 2.1.2 氣候相關機會議題鑑別  16
 2.1.3 氣候變遷風險與機會管理  16
2.2 情境分析  19
 2.2.1 實體風險氣候情境分析  20"
G-1-1,0.8098920457851249,"產業轉型風險衝擊程度
 不動產擔保品及自有資產受實體風險影響程度 永續發展之統籌單位，融入經營策略，監督本
行永續發展相關議題執行情形
 定期檢視氣候指標並及時向董事會報告重要的
氣候議題
 永續金融業務發展執行情形本行具有完善的永續發展及氣候治理架構，除了董事會層級的永續發展委員
會，及董事長下設立之風險管理委員會外，另包含總經理層級的經營管理委
員及環境永續推動委員會等兩個功能性委員會，由上至下各層級職責彙整如
左下表 。銀行風險資訊彙整和內部風險資訊陳報機制 ， 為氣候治理和風險管理的基
石，本行建立完善的氣候資訊陳報機制，明訂於內部作業流程中，以利董事"
G-1-1,0.809497066594305,"營運
低碳
倡議風險管理委員會 永續發展委員會治理
董事會
董事長
總經理
風險管理 指標與目標策略
風險管理部 永續環境小組 永續金融小組董事長指派總
經理為風險管
理委員會主席
CH1 氣候治理
臺灣企銀高度關注氣候相關風險與機會，董事會為全行氣候議題最高治理層
級，負責氣候相關策略與風險管理主軸之監督及決策，並確實建立有效的氣
候治理架構。
06"
G-1-1,0.809288355400479,"42
附錄
 氣候策略
 目錄
 氣候治理
 氣候風險管理
 氣候指標與目標
 未來展望
附錄五：本國銀行氣候風險財務揭露指引對照表
董事會及高階管理階層應將氣候風險因素納入銀行風險胃納、策略及經營計畫中，包括辨識及
評估氣候相關之風險與機會，以及其對銀行策略與計畫之影響 。同時應考量相關國際協定之目
標及國家政策要求之期程，以持續有效監控銀行對氣候風險之管理與揭露 。
董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保
銀行訂定之定性及定量措施符合其風險胃納 。董事會應認知氣候風險對銀行財務之可能影響，"
G-1-1,0.8091508305868368,"險高之業務或交易，應報經高階管理階層核定，並留存相關紀錄備查 。3.1 氣候風險管理架構  
3.1 氣候風險管理架構  
3.2 投融資活動氣候風險管理
3.2 投融資活動氣候風險管理
2.2 情境分析
2.2 情境分析2.1 氣候相關風險與機會
3.1 氣候風險管理架構
3.2 投融資活動氣候風險管理3.1 氣候風險管理架構"
G-1-1,0.8090228724017089,"與ISO50001 驗證，並同步於本行 2022 年年報及永續報告書揭露氣候相
關財務分析重點資訊 。揭露範圍
核心要素 執行摘要
為完善氣候治理機制 ，本行董事會為最高氣
候治理及決策層級 ， 由董事會層級之 「永續
發展委員會 」 及董事長下設之 「 風險管理委員
會」 為管理階層 ，落實由上而下的監督及控
管 ，並由各執行單位 、經理部門由下而上彙
報氣候治理相關資訊 ，落實推動整體氣候相
關風險政策及營運策略 。
鑑別短 、中 、長期氣候相關風險與機會 ，
透過情境分析評估對本行相關業務之衝擊 ，
並擬定因應措施；擬定全行淨零目標 （ Net"
G-1-1,0.8076515825385584,"董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保
銀行訂定之定性及定量措施符合其風險胃納 。董事會應認知氣候風險對銀行財務之可能影響，
並對確保建立及維持適當有效之氣候風險管理制度負有最終之責任 。
高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視其有效性與執行情
形 。 持續監控銀行氣候風險之暴險狀況 ，檢視銀行在不同氣候情境下之因應策略是否具有韌
性 。並應配置充分人力資源，施以適當合宜之訓練 。
銀行應定期向董事會報告氣候風險之相關資訊 ，以利董事會及高階管理階層於制定策略規劃及"
G-1-1,0.8069785683261279,"性 。並應配置充分人力資源，施以適當合宜之訓練 。
銀行應定期向董事會報告氣候風險之相關資訊 ，以利董事會及高階管理階層於制定策略規劃及
監控業務時納入考量 。監控氣候風險之過程中，如發現重大異常或特殊情況應立即依內部規範
採取因應措施，並提報董事會 。1.1 氣候治理架構
1.1 氣候治理架構
1.1 氣候治理架構1.1 氣候治理架構
3.1 氣候風險管理架構治理面向
二
三
四一
銀行於評估氣候風險之影響時，應說明所辨識之氣候風險在不同期間 （ 短、中、長期 ） 下，對銀
行營運 、策略 、產品與財務規劃等之影響 。尤其應詳述碳相關資產 （ 包含對高碳排產業之暴險"
G-1-1,0.8048143199170779,"1.1 氣候治理架構
臺灣企銀預計 2023 年制定 「氣
候風險管理要點」 ， 明確劃分董
事會、高階管理階層、相關功能
性委員會與各經理部門之職責，
由上而下將氣候相關風險與機會
納入業務發展及風險管理考量，
由下而上確保氣候相關風險與機
會於各層級皆為妥善辨識、評估
及管理，本行氣候治理主要架構
如右圖所示 。
臺灣企銀氣候治理核心策略
低碳 
金融
低碳
韌性淨零排
放策略低碳
營運
低碳
倡議風險管理委員會 永續發展委員會治理
董事會
董事長
總經理
風險管理 指標與目標策略
風險管理部 永續環境小組 永續金融小組董事長指派總
經理為風險管
理委員會主席
CH1 氣候治理"
G-1-1,0.8032937037696533,"司之營運活動與服務，為本次揭露範疇核心 。
資料涵蓋 2022 年1月1日至2022 年12月31日 ， 部分內容涵蓋本報告書
編製過程中 （ 即 2023 年 ） 之事件 。
依循金融監督管理委員會(以下簡稱金管會） 之 「本國銀行氣候風險財
務揭露指引 」 及國際金融穩定委員會 （ FSB ） 之 「 氣候相關財務揭露 」 建
議框架 （ TCFD ） ， 並參考中華民國銀行商業同業公會全國聯合會 （以
下簡稱銀行公會） 之 「本國銀行氣候相關風險管理實務手冊」 ， 以治理"
G-1-2,0.8282184754318894,"左下表 。銀行風險資訊彙整和內部風險資訊陳報機制 ， 為氣候治理和風險管理的基
石，本行建立完善的氣候資訊陳報機制，明訂於內部作業流程中，以利董事
會層級及高階管理階層得以隨時取得正確且充分之資訊，作為決策參考及對
外溝通之重要依據 。
 1.1.1 董事會權責
臺灣企銀董事會為全行氣候議題最高治理層級，透過董事會層級之永續發展
委員會，實質監督氣候治理相關進程，由董事長、總經理與三位獨立董事組
成，並由董事長擔任主任委員，定期監督與確認各項永續發展策略及重大性
議題 （ 包含氣候變遷 ） 執行成效，並視實際情形下達決策 。
監督氣候行動方案
推展進度 定期檢視氣候相關目標之達成情形 。"
G-1-2,0.8129213926686938,"策，定期將相關執行成果陳報董事會 。
透過各高階管理階層委員會實質督促氣候相關行動之執行，各部處依其職掌
落實氣候相關職責，進而有效落實由上而下之氣候治理架構，以及由下至上
之追蹤機制，有效展現本行氣候韌性 。各部處氣候相關職責，詳參本報告書
「3.1.2 氣候風險管理三道防線架構 」 。風險管理委員會在氣候治理面，負責評估本行所面臨的氣候變遷實體及轉型
風險 ，鑑別本行所面臨氣候相關風險與機會 ，並訂定與落實因應策略 ，每
年定期檢視全行重大氣候相關風險與機會 ，並將鑑別報告提報董事 （ 常務董
事 ） 會確認 。
經營管理委員會"
G-1-2,0.8099985930181604,"營運
低碳
倡議風險管理委員會 永續發展委員會治理
董事會
董事長
總經理
風險管理 指標與目標策略
風險管理部 永續環境小組 永續金融小組董事長指派總
經理為風險管
理委員會主席
CH1 氣候治理
臺灣企銀高度關注氣候相關風險與機會，董事會為全行氣候議題最高治理層
級，負責氣候相關策略與風險管理主軸之監督及決策，並確實建立有效的氣
候治理架構。
06"
G-1-2,0.8099174392613526,"產業轉型風險衝擊程度
 不動產擔保品及自有資產受實體風險影響程度 永續發展之統籌單位，融入經營策略，監督本
行永續發展相關議題執行情形
 定期檢視氣候指標並及時向董事會報告重要的
氣候議題
 永續金融業務發展執行情形本行具有完善的永續發展及氣候治理架構，除了董事會層級的永續發展委員
會，及董事長下設立之風險管理委員會外，另包含總經理層級的經營管理委
員及環境永續推動委員會等兩個功能性委員會，由上至下各層級職責彙整如
左下表 。銀行風險資訊彙整和內部風險資訊陳報機制 ， 為氣候治理和風險管理的基
石，本行建立完善的氣候資訊陳報機制，明訂於內部作業流程中，以利董事"
G-1-2,0.8061777915398295,"42
附錄
 氣候策略
 目錄
 氣候治理
 氣候風險管理
 氣候指標與目標
 未來展望
附錄五：本國銀行氣候風險財務揭露指引對照表
董事會及高階管理階層應將氣候風險因素納入銀行風險胃納、策略及經營計畫中，包括辨識及
評估氣候相關之風險與機會，以及其對銀行策略與計畫之影響 。同時應考量相關國際協定之目
標及國家政策要求之期程，以持續有效監控銀行對氣候風險之管理與揭露 。
董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保
銀行訂定之定性及定量措施符合其風險胃納 。董事會應認知氣候風險對銀行財務之可能影響，"
