指標名稱,相似度,片段內容
G-1-1,0.8300269334812191,"以及經統計分析評估現
況後，報告於風險管理
委員會及相關部門 ，並
於報告書、年報與官網
公開資訊。
4.氣候風險措施
•依風險管理委員會、審
計委員會、永續發展委
員會及各相關部門提及
意見進行調整相關措施，
並制定氣候風險與機會
相關因應對策。
•承接由委員會所制訂的
氣候政策，各單位訂定
管理目標與 KPI，並定期
陳報績效。"
G-1-1,0.8267197537879551,"之暴險情形，確保銀行訂定之定性及定量措施符合其風險胃納。董事會應認
知氣候風險對銀行財務之可能影響，並對確保建立及維持適當有效之氣候風
險管理制度負有最終之責任。  
高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視
其有效性與執行情形。持續監控銀行氣候風險之暴險狀況，檢視銀行在不同
氣候情境下之因應策略是否具有韌性。並應配置充分人力資源 ，施以適當合
宜之訓練。  
銀行應定期向董事會報告氣候風險之相關資訊，以利董事會及高階管理階層
於制定策略規劃及監控業務時納入考量。監控氣候風險之過程中，如發現重
大異常或特殊情況應立即依內部規範採取因應措施 ，並提報董事會。"
G-1-1,0.8249387446580293,"定氣候風險管理政策，含風險胃納及風險限額之擬定 。 
永續發展委員會  ⚫ 委員會下設有 各專門小組，推動永續發展執行、落實公司治理、發展永續環境、
維護社會公益，加強永續發展資訊揭露 。 
審計委員會  ⚫ 審議重要氣候相關風險管理制度及限額，每季審閱風險管理報告， 督導氣候風
險管理機制之執行。  
風險管理委員會  ⚫ 督導權責單位制定並執行氣候策略， 定期檢視與審查各項氣候風險管理相關指
標。 
⚫ 定期將氣候風險管理相關指標與管理結果 陳報審計委員會 及董事會。"
G-1-1,0.8160265195858855,"理委員會後，陳報至 審計委員會及董事會。 
各營業單位  ⚫ 應遵循本行各項氣候風險有關規定及辦法，進行日常業務之控管 。 
⚫ 各單位依權責辦理 氣候風險相關業務及流程，應採取適當的氣候風險管理及因
應對策。 
 
同時本行就氣候相關議題，持續邀請外部顧問或專家蒞行進行演講及教育訓練 。為協助董事會瞭解氣
候變遷對於銀行財務衝擊的方式及金融業 ESG永續議題，於 2022年針對董事及高階管理階 層聘請外部顧
問舉辦一場以「金融業 ESG與TCFD實務解析」課程；此外針對行內 各階層人員於 2022 年共舉辦 1場"
G-1-1,0.8129688500201171,"2 
 面向  說明  推動規劃  
2. 依據所鑑別之氣候風險進行管理方針的設
定，並連結既有風險後，提出 短期、中長
期預計執行的工作項目與目標。 
3. 本行依循 TCFD準則，蒐集國內外氣候相
關研究報告，一共彙整出 14項風險議題
及14項機會議題。本行並偕同外部顧問
團隊，針對所鑑別前 4大風險項目制定管
理方針，以及未來後續的氣候行動方案 。 
風險  
管理  說明於所評估風險 與機會，透過情境分析、壓力
測試等財務衝擊量化方式，了解風險與機會對於
公司營運的影響或效益 ，爾後針對結果 制定管理
流程與方法。 1. 針對授信與投資業務將納入環境、社會、"
G-1-1,0.8091513992162429,"續發展實務守則》 ， 以「永續發展委員會」
下設各專門小組，落實氣候機會議題的有
效管理，並將氣 候議題管理方式應用於公
司治理流程中 。 
2. 本行預計於 2023年完成本行《氣候風險
管理準則》制定，並定期報告於風險管理
委員會、審計委員會及董事會。 
3. 本行風險胃納考量氣候風險因素，為發揮
金融機構影響力，支持臺灣政府 2050淨
零排放政策，將氣候變遷風險因子納入 授
信與投資及商品審查流程，持續發展綠色
金融商品，及注重氣候變遷風險管理 。 
策略  分析與揭露現存在氣候變遷下的短中長期風險
與機會，並評估可能對企業財務規劃造成的衝"
G-1-1,0.8062593456916981,"4 
  
 
2.2 各階層之 管理角色 與職責工作  
管理單位  工作項目  
董事會  ⚫ 為氣候風險管理最高決策單位 ，並擔負本行氣候風險管理政策之最終責任 。 
⚫ 董事會依整體營運策略及經營環境 ，核定整體之氣候風險管理政策與重大決
策，定期檢討重要氣候風險工作與管理成效 ，以確保氣候風險管理機制之有效
運作。 
⚫ 督導權責單位建立適當的氣候治理架構及營造氣候治理文化，督導權責單位制
定氣候風險管理政策，含風險胃納及風險限額之擬定 。 
永續發展委員會  ⚫ 委員會下設有 各專門小組，推動永續發展執行、落實公司治理、發展永續環境、
維護社會公益，加強永續發展資訊揭露 。"
G-1-1,0.8059712719821261,"1.氣候風險辨識
•參考 TCFD指引、銀行公
會TCFD手冊及蒐集同業
標竿執行概況 ，作為本
行氣候相關風險與機會
鑑別、評估及管理之依
據。
2.氣候風險衡量
•透過外部研究報告 、國
際氣候區域及臺灣政府
氣候相關政策 ，分析評
估風險發生可能性以及
影響衝擊。
•透過內部主管在營運上
的經驗，評估發生頻率、
衝擊與效益程度。
3.風險報告揭露
•依據鑑別氣候風險與機
會結果定期調整措施 ，
以及經統計分析評估現
況後，報告於風險管理
委員會及相關部門 ，並
於報告書、年報與官網
公開資訊。
4.氣候風險措施
•依風險管理委員會、審
計委員會、永續發展委
員會及各相關部門提及"
G-1-2,0.8185713095505164,"之暴險情形，確保銀行訂定之定性及定量措施符合其風險胃納。董事會應認
知氣候風險對銀行財務之可能影響，並對確保建立及維持適當有效之氣候風
險管理制度負有最終之責任。  
高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視
其有效性與執行情形。持續監控銀行氣候風險之暴險狀況，檢視銀行在不同
氣候情境下之因應策略是否具有韌性。並應配置充分人力資源 ，施以適當合
宜之訓練。  
銀行應定期向董事會報告氣候風險之相關資訊，以利董事會及高階管理階層
於制定策略規劃及監控業務時納入考量。監控氣候風險之過程中，如發現重
大異常或特殊情況應立即依內部規範採取因應措施 ，並提報董事會。"
G-1-2,0.8117474764971199,"定氣候風險管理政策，含風險胃納及風險限額之擬定 。 
永續發展委員會  ⚫ 委員會下設有 各專門小組，推動永續發展執行、落實公司治理、發展永續環境、
維護社會公益，加強永續發展資訊揭露 。 
審計委員會  ⚫ 審議重要氣候相關風險管理制度及限額，每季審閱風險管理報告， 督導氣候風
險管理機制之執行。  
風險管理委員會  ⚫ 督導權責單位制定並執行氣候策略， 定期檢視與審查各項氣候風險管理相關指
標。 
⚫ 定期將氣候風險管理相關指標與管理結果 陳報審計委員會 及董事會。"
G-1-2,0.8043782264755356,"2 
 面向  說明  推動規劃  
2. 依據所鑑別之氣候風險進行管理方針的設
定，並連結既有風險後，提出 短期、中長
期預計執行的工作項目與目標。 
3. 本行依循 TCFD準則，蒐集國內外氣候相
關研究報告，一共彙整出 14項風險議題
及14項機會議題。本行並偕同外部顧問
團隊，針對所鑑別前 4大風險項目制定管
理方針，以及未來後續的氣候行動方案 。 
風險  
管理  說明於所評估風險 與機會，透過情境分析、壓力
測試等財務衝擊量化方式，了解風險與機會對於
公司營運的影響或效益 ，爾後針對結果 制定管理
流程與方法。 1. 針對授信與投資業務將納入環境、社會、"
