指標名稱,相似度,片段內容
G-1-1,0.8372650119735253,"風險管理部門定期彙總氣候風險管理
報告，向相關功能性委員會及董事會報告氣候治理相關事宜，並向高階管理階層陳報氣候管理情形，以健全本行氣候風險管理運作。陳報權責單位 陳報頻率 不定期資訊陳報機制
( 一 )  風險管理委員會及董事會：
每年一次，負責檢視氣候治理相關政策及因應策略執行情形、氣候風險關鍵指標與目標達成情形及氣候變遷潛在機會等。
( 二 )  永續委員會：
每年一次，檢視氣候相關財務揭露報告內容。
(三 )  高階管理階層："
G-1-1,0.8244726848071958,"( 二 )  永續委員會：
每年一次，檢視氣候相關財務揭露報告內容。
(三 )  高階管理階層：
每半年至少一次，負責檢視氣候管理情形。當國內外重要氣候政策法令發布或更新時 ，本行將評估其對業務和營運之影響，並及時做出回應。若有重大影響或設定的氣候風險關鍵指標和目標未達到預期進度，則向總經理報告並判定是否應立即陳報董事會。
若因氣候變化而有發生影響金融機構正常營運之重大偶發事件或重大風險事件時，本行遵循既有內部通報流程及時陳報。(一)  
(二)  
�. �. �."
G-1-1,0.8193834949963539,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄34
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
4.3 投融資組合氣候風險情境分析
分析項目與方法學說明："
G-1-1,0.8191773547602871,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄38
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
4.4 自身營運及擔保放款實體風險情境分析
分析項目與方法學說明："
G-1-1,0.8182192936733617,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄28
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
氣候風險管理4.1    氣候風險管理架構及流程"
G-1-1,0.818045248262436,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄31
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
氣候風險管理流程"
G-1-1,0.8171793201863554,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄37
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
相應管理作為：
維持當前業務策略，
持續監控及管理。相應管理作為："
G-1-1,0.8169083558746195,"附錄二：本國銀行氣候風險財務揭露指引索引表
本國銀行氣候風險財務揭露指引索引表 本報告書章節
治        理
( 一 ) 董事會及高階管理階層應將氣候風險因素納入銀行風險胃納、策略及經營計畫中，包括辨識及評估氣候相關之風險與機會，以及其對銀行策略與計
畫之影響。同時應考量相關國際協定之目標及國家政策要求之期程，以持續有效監控銀行對氣候風險之管理與揭露。2.1 氣候治理架構
( 二 ) 董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保銀行訂定之定性及定量措施符合其風險胃納。董事會"
G-1-1,0.8168912254033591,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄29
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022"
G-1-1,0.8165807927906522,"目   錄
01 
TCFD 報告書總覽
及執行成果摘要
02 
氣候永續治理
03 
氣候策略及
轉型金融
04 
氣候風險管理
4.1 氣候風險管理架構及
流程
4.2 高氣候敏感暴險產業
的鑑別及管理機制
4.3 投融資組合氣候風險
情境分析
4.4 自身營運及擔保放款
實體風險情境分析
05 
指標與目標及
碳管理成果
06 
附錄39
氣候相關財務揭露  TCFD 報告書
TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES 2022
財務量化分析
( 一 ) 營運據點："
