指標名稱,相似度,片段內容
G-1-1,0.8417697514360667,"2.2ﾠ權責劃分與呈報機制
富邦針對營運過程中所面臨的風險，以整合性企業風險管理框架，建置完善的風險管理組織與制度，訂有風險管理政策並經董事會核定，據以落實風險管理，風險管理範疇包含信用風險、國家風險、
市場風險、作業風險、保險風險、資產負債暨流動性風險、信譽風險、新興風險與氣候變遷等各類風險，並關注全球環境與產業變化，以隨時因應、有效管理與減緩風險帶來的衝擊。
氣候治理架構及呈報機制如下：
金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報"
G-1-1,0.8236045018747199,"候相關議題，責任金融小組關注政府間氣候變化專門委員會 （ Intergovernmental Panel on Climate Change, IPCC ）、DJSI、
CDP、 SBTi 等國際組織、國內外評比標準及倡議掌握氣候變遷相關議題，不定期召開 ESG交流會分享相關資訊，並依據國內
外趨勢檢視策略、行動方案與目標，必要時進行調整，並依內部分層負責呈報高階管理階層或董事會核定。
審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會"
G-1-1,0.8204679544819634,"審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會
由總經理擔任召集人、執行秘書 （風控長） 及委員若干人 （各子公司風險管理最高主管） 組成，負責監督本公司及子公司氣候
變遷風險管理，進行氣候變遷風險管理之審核、督導與協調。
風險控管處
統籌辦理氣候變遷相關財務揭露專案之推動，協調及督導子公司執行氣候變遷管理議題，每季納入風險管理報告，呈報風險"
G-1-1,0.8157344419257049,"金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報
責任金融執行計畫與執行情形
永續經營 （ESG ）執行小組
風險控管處• 建置氣候變遷管理程序
• 鑑別氣候風險與機會
• 制定與修訂氣候相關章程
風險管理委員會
每季呈報金控風險管理報告
（含氣候變遷管理議題 ）總經理 （ESG執行小組執行長 ）
責任金融小組
（組長：風險控管處處長 ）• 責任投資
• 永續授信
• 氣候變遷相關財務揭露
 （TCFD ）
董事會"
G-1-1,0.8125197300564095,"7附錄
Appendix
附錄1-TCFD指標對照表
面向 一般行業指標 對應章節 對應頁碼
治理a） 描述董事會對氣候相關風險與機會之監督情形。 2.1, 2.2 6-7
b） 描述管理階層在評估與管理氣候相關風險與機會之角色。 2.2 7
策略a） 描述組織已鑑別出之短、中、長期的氣候相關風險與機會。 3.1 9-10
b） 描述氣候相關風險與機會對組織營運、策略及財務規劃之影響。 3.1, 3.2, 3.4, 4.4 9-10, 11, 13-14, 29-30
c） 描述組織策略之韌性，將包括升溫幅度2°C或更低在內之不同氣候變遷情境納入考量。 3.3, 4.3 12, 20-28"
G-1-1,0.8110372178060143,"關於報告書
富邦身為金融體系中的領導
企業，為低碳資本市場的驅
動者，應全面瞭解氣候風險
並進行適當管理與積極行
動。我們期許透過低碳策略目標，藉由資金影響力，加速價值鏈永續轉型，達成減緩地球暖化
的共同目標，成就建構全球永續經濟之發展，除遵循國際與政府主管機關之規範，亦自發性積
極導入國際金融穩定委員會 （ Financial Stability Board, FSB ） 發布之氣候相關財務資訊揭露 （ Task 
Force on Climate-Related Financial Disclosures, TCFD ） 建議架構。"
G-1-1,0.8070643916673285,"c） 描述組織鑑別、評估及管理氣候相關風險之流程如何整合納入整體風險控管機制。 4.1, 4.2, 4.4 15-17, 17-19, 29-30
指標與目標a） 揭露組織依據策略及風險管理流程，評估氣候相關風險與機會之指標。 2.4, 3.4, 5.1, 5.2 8, 13-14, 31-33, 33-37
b） 揭露範疇1、2、3 （若適用） 之排放量及相關風險。 5.1, 附錄2-富邦金控永續報告書 31-33, 40
c） 描述組織用於管理氣候相關風險與機會之目標及相關目標之績效。 3.4, 5.1, 5.2 13-14, 31-33, 33-37"
G-1-1,0.8052924750487911,"c） 描述組織用於管理氣候相關風險與機會之目標及相關目標之績效。 3.4, 5.1, 5.2 13-14, 31-33, 33-37
面向 銀行業附加指標 對應章節 對應頁碼
策略 a） 描述與碳相關資產信用風險的高度集中；此外，應考慮揭露放貸及其他金融中介活動之氣候相關風險 （轉型及實體） 。 3.1, 4.1, 4.3 9-10, 15-17, 20-28
風險管理 a） 應考慮在信用、市場、流動性及作業等傳統風險類別下描述氣候相關風險，亦應考慮描述所使用之風險分類框架。 3.1, 4.1 9-10, 15-17"
G-1-1,0.8037290385679223,"事會與高階管理層之權責及治理架構，第三部分 「策略」 說明本公司對於氣候及自然風險與機會
之評估，將評估結果納入公司營運分析、策略擬定及財務規劃之流程中，並展現氣候機會績
效，第四部份 「風險管理」 闡述本公司風險管理架構、氣候風險之辨識、情境分析結果以及風險
因應控管措施，第五部分 「指標與目標」 彙整富邦因應低碳策略設定自身營運及投融資部位之指
標與目標及其達成情形，第六部分 「未來展望」 ，採取積極之行動作為， 「 Run For GreenTM 奔
向綠色」 ，以朝向淨零碳排為終極目標。
我們希冀透過本報告與各方利害關係人傳遞，富邦履行身為責任投資人應承擔起之氣候變遷減"
G-1-1,0.80186475701774,"遷等各類重要風險5。根據各類風險及其特性，分別訂定重大風險事件定義及其通報機制，而
在整合性企業風險管理框架下，氣候風險管理相關議題已納入現行風險管理架構及機制，本公
司及子公司權責單位依循相關重大事件規範判定及通報，以利適時因應及採取必要之風險控管
措施。
4.1.1 三道防線之角色與職責
為有效管理與監控本公司於氣候風險所辨識與評估之結果，採行三道防線風險管理制度，並規
範於氣候變遷管理準則，俾利落實內部控管作業。
氣候風險管理職責 三道防線
第一道防線
第二道防線
第三道防線由業務、作業及管理等各單位就其功能及業務範圍，在執行相關工作時，負責
辨識及管理氣候風險，落實風險控管程序。"
G-1-1,0.8011993847202985,"業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色
董事會為推動永續發展之最高督導單位，建構企業永續文化，並監督永續相關計畫的推動與執行。為落實公司治理並提
升本公司董事會及功能性委員會功能，本公司制定 「董事會及功能性委員會績效評估政策」 ，績效評估方式分為內部與外
部評估，外部評估每三年委由外部專業獨立機構、外部專家學者團隊等方式辦理；內部評估每年由董事會及功能性委員"
G-1-1,0.8008380386493097,"面向 保險業附加指標 對應章節 對應頁碼
策略b） 描述與氣候相關風險與機會之潛在影響，以及提供有關其核心業務、產品和服務之量化資訊：
（1） 業務部門、分支或地理區域的資訊；
（2） 潛在的衝擊如何影響客戶或經紀人的選擇；以及
（3） 是否持續開發氣候相關產品或能力。3.1, 3.4, 附錄2-富邦人壽及富邦
產險永續報告書
4.1, 4.4
3.4, 4.19-10, 13-14, 40
15-17, 29-30
13-14, 15-17
c） 針對承保活動進行氣候相關情境分析，提供：
（1） 所使用與氣候有關的情境，包括關鍵的輸入參數、假設和考量，以及分析選擇；以及"
G-1-1,0.8003707498365982,"指標與目標a） 為房地產業務的天氣相關災害提供整體風險暴露情形。
描述其承保活動與2°C 情境的符合程度，並應說明包含哪些承保活動 （例如：組織主要產品／服務 ）4.3
4.1, 4.4, 5.120-28
15-17, 29-30, 31-33
b） 揭露商用不動產及其他專業業務之溫室氣體排放量與加權平均碳強度。 5.1 31-33
附錄2-相關報告與出版品
 年報 富邦金控永續報告書 富邦人壽永續報告書 富邦產險永續報告書
前言治理策略風險管理 指標與目標 未來展望 附錄   富邦金控2022 TCFD報告書  │  40"
G-1-2,0.8381548794595601,"2.2ﾠ權責劃分與呈報機制
富邦針對營運過程中所面臨的風險，以整合性企業風險管理框架，建置完善的風險管理組織與制度，訂有風險管理政策並經董事會核定，據以落實風險管理，風險管理範疇包含信用風險、國家風險、
市場風險、作業風險、保險風險、資產負債暨流動性風險、信譽風險、新興風險與氣候變遷等各類風險，並關注全球環境與產業變化，以隨時因應、有效管理與減緩風險帶來的衝擊。
氣候治理架構及呈報機制如下：
金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報"
G-1-2,0.8210290765496132,"金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報
責任金融執行計畫與執行情形
永續經營 （ESG ）執行小組
風險控管處• 建置氣候變遷管理程序
• 鑑別氣候風險與機會
• 制定與修訂氣候相關章程
風險管理委員會
每季呈報金控風險管理報告
（含氣候變遷管理議題 ）總經理 （ESG執行小組執行長 ）
責任金融小組
（組長：風險控管處處長 ）• 責任投資
• 永續授信
• 氣候變遷相關財務揭露
 （TCFD ）
董事會"
G-1-2,0.8188334364764382,"審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會
由總經理擔任召集人、執行秘書 （風控長） 及委員若干人 （各子公司風險管理最高主管） 組成，負責監督本公司及子公司氣候
變遷風險管理，進行氣候變遷風險管理之審核、督導與協調。
風險控管處
統籌辦理氣候變遷相關財務揭露專案之推動，協調及督導子公司執行氣候變遷管理議題，每季納入風險管理報告，呈報風險"
G-1-2,0.8169180940192848,"會決策品質、董事之選任及持續進修及內部控制等。本公司藉由績效評估機制，瞭解董事的需要並研擬改進之措施。
前言治理策略風險管理 指標與目標 未來展望 附錄   富邦金控2022 TCFD報告書  │  06"
G-1-2,0.8140969736407839,"候相關議題，責任金融小組關注政府間氣候變化專門委員會 （ Intergovernmental Panel on Climate Change, IPCC ）、DJSI、
CDP、 SBTi 等國際組織、國內外評比標準及倡議掌握氣候變遷相關議題，不定期召開 ESG交流會分享相關資訊，並依據國內
外趨勢檢視策略、行動方案與目標，必要時進行調整，並依內部分層負責呈報高階管理階層或董事會核定。
審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會"
G-1-2,0.8019318969474177,"關於報告書
富邦身為金融體系中的領導
企業，為低碳資本市場的驅
動者，應全面瞭解氣候風險
並進行適當管理與積極行
動。我們期許透過低碳策略目標，藉由資金影響力，加速價值鏈永續轉型，達成減緩地球暖化
的共同目標，成就建構全球永續經濟之發展，除遵循國際與政府主管機關之規範，亦自發性積
極導入國際金融穩定委員會 （ Financial Stability Board, FSB ） 發布之氣候相關財務資訊揭露 （ Task 
Force on Climate-Related Financial Disclosures, TCFD ） 建議架構。"
G-1-2,0.8009038931653886,"氣候變遷相關風險與機會的能力成為企業永續經營的關鍵之一。而完善的公司治理則是企業永續經營的基礎，金融監督
管理委員會2021年推出 《公司治理3.0-永續發展藍圖》 ，並於2022年發布 《上市櫃公司永續發展路徑圖》 、 《綠色金融行
動方案 3.0》 ，以 「落實公司治理及營造健全 ESG 生態體系」 為核心願景，要求企業強化董事會組織運作和職責，並推動企
業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色"
G-1-3,0.8306434470445243,"關於報告書
富邦身為金融體系中的領導
企業，為低碳資本市場的驅
動者，應全面瞭解氣候風險
並進行適當管理與積極行
動。我們期許透過低碳策略目標，藉由資金影響力，加速價值鏈永續轉型，達成減緩地球暖化
的共同目標，成就建構全球永續經濟之發展，除遵循國際與政府主管機關之規範，亦自發性積
極導入國際金融穩定委員會 （ Financial Stability Board, FSB ） 發布之氣候相關財務資訊揭露 （ Task 
Force on Climate-Related Financial Disclosures, TCFD ） 建議架構。"
G-1-3,0.8292180195544616,"事會與高階管理層之權責及治理架構，第三部分 「策略」 說明本公司對於氣候及自然風險與機會
之評估，將評估結果納入公司營運分析、策略擬定及財務規劃之流程中，並展現氣候機會績
效，第四部份 「風險管理」 闡述本公司風險管理架構、氣候風險之辨識、情境分析結果以及風險
因應控管措施，第五部分 「指標與目標」 彙整富邦因應低碳策略設定自身營運及投融資部位之指
標與目標及其達成情形，第六部分 「未來展望」 ，採取積極之行動作為， 「 Run For GreenTM 奔
向綠色」 ，以朝向淨零碳排為終極目標。
我們希冀透過本報告與各方利害關係人傳遞，富邦履行身為責任投資人應承擔起之氣候變遷減"
G-1-3,0.8271061674161263,"2.2ﾠ權責劃分與呈報機制
富邦針對營運過程中所面臨的風險，以整合性企業風險管理框架，建置完善的風險管理組織與制度，訂有風險管理政策並經董事會核定，據以落實風險管理，風險管理範疇包含信用風險、國家風險、
市場風險、作業風險、保險風險、資產負債暨流動性風險、信譽風險、新興風險與氣候變遷等各類風險，並關注全球環境與產業變化，以隨時因應、有效管理與減緩風險帶來的衝擊。
氣候治理架構及呈報機制如下：
金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報"
G-1-3,0.8265546751243069,"c） 描述組織用於管理氣候相關風險與機會之目標及相關目標之績效。 3.4, 5.1, 5.2 13-14, 31-33, 33-37
面向 銀行業附加指標 對應章節 對應頁碼
策略 a） 描述與碳相關資產信用風險的高度集中；此外，應考慮揭露放貸及其他金融中介活動之氣候相關風險 （轉型及實體） 。 3.1, 4.1, 4.3 9-10, 15-17, 20-28
風險管理 a） 應考慮在信用、市場、流動性及作業等傳統風險類別下描述氣候相關風險，亦應考慮描述所使用之風險分類框架。 3.1, 4.1 9-10, 15-17"
G-1-3,0.8258400760868589,"氣候變遷相關風險與機會的能力成為企業永續經營的關鍵之一。而完善的公司治理則是企業永續經營的基礎，金融監督
管理委員會2021年推出 《公司治理3.0-永續發展藍圖》 ，並於2022年發布 《上市櫃公司永續發展路徑圖》 、 《綠色金融行
動方案 3.0》 ，以 「落實公司治理及營造健全 ESG 生態體系」 為核心願景，要求企業強化董事會組織運作和職責，並推動企
業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色"
G-1-3,0.8200923417680344,"形，將持續檢視各項氣候策略及風險控管措施是否具備足夠的氣候韌性、與本公司短期及中長
期管理目標一致，並將密切關注國內外氣候政策與趨勢變化，滾動式調整與優化各項管理作為
及行動方案。
   富邦金控2022 TCFD報告書  │  30
前言治理策略風險管理 指標與目標 未來展望 附錄"
G-1-3,0.8156276628850025,"候相關議題，責任金融小組關注政府間氣候變化專門委員會 （ Intergovernmental Panel on Climate Change, IPCC ）、DJSI、
CDP、 SBTi 等國際組織、國內外評比標準及倡議掌握氣候變遷相關議題，不定期召開 ESG交流會分享相關資訊，並依據國內
外趨勢檢視策略、行動方案與目標，必要時進行調整，並依內部分層負責呈報高階管理階層或董事會核定。
審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會"
