指標名稱,相似度,片段內容
G-1-1,0.8365411187769265,"資訊。風險管理委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成員，董事長及總經理皆為董事成員，藉由董事成員的監
管，達到董事會監督之目的。
(3)	合庫銀行資產負債管理暨業務發展委員會、投資企業暨買賣有價證券審議委員會及授信審議小組：各依其職掌及業務別，考量氣候相關風險
與機會，審議提案。1.2 資訊陳報機制
　　本公司定期向高階管理階層及董事會陳報氣候風險管理相關資訊。其中，各子公司依業務性質及資產規模，按季將氣候風險管理重要事項於其
風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會"
G-1-1,0.8259969677304408,"每月 風險管理單位	➡	高階管理階層 統計監控「高污染及高碳排行業」暴險情形，陳報高階管理階層。
每季 風險管理單位	➡	風險管理委員會	➡	董事會風險管理單位依業務性質及資產規模，按季將氣候風險管理重要事項於其風險管
理委員會報告後，納入1月、4月、7月及10月陳報董事會之風險管理資訊報告案。
每年 風險管理委員會	➡	董事會 風險管理委員會每年定期呈報氣候風險辨識結果及管理流程至董事會。
　　本公司每年皆定期安排員工參與氣候相關基礎訓練，以確保每位
同仁了解氣候變遷對合庫的衝擊，例如「氣候變遷國際發展及因應策
略」、「氣候風險管理」、「永續金融專業人才培訓」及「實體風險"
G-1-1,0.8240681804286125,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-1-1,0.8205025781180151,"風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會
及董事會，依決議事項持續追蹤改善。倘發生重大異常氣候風險或特殊情況，則依本公司緊急事件危機處理相關規定採取因應措施。
1.3 知識與能力培育
　　合庫深知氣候知識建構的重要性，致力於增進治理階層及員工對
氣候風險議題的認知。2022年董事會成員參與各項氣候相關課程講
習，包括「全球淨零排放因應與企業ESG行動」、「氣候變遷與淨
零排放政策對企業經營的風險與機會」、「以金融支持產業轉型減碳
及達成淨零」、 「低碳經濟與企業低碳創新的全球趨勢與商機」、 「國"
G-1-1,0.815226108785815,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-1-1,0.8147102313600417,"與其衝擊，針對氣候相關風險與機會進行辨識、衡量、監督及控管程
序，並制訂因應策略以及指標目標。
風險管理委員會
氣候風險管理之統籌單位，負責監督及指導氣候風險管理執行情形，
審議氣候風險相關提案，並提報董事會氣候風險相關資訊。風險管理
委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成
員，董事長及總經理皆為董事成員，藉由董事成員的監管，達到董事
會監督之目的。
合庫銀行資產負債管理暨業務發展委員會、
投資企業暨買賣有價證券審議委員會及授信審議小組
各依其職掌及業務別，考量氣候相關風險與機會，審議提案。"
G-1-1,0.8127010489446789,"陳報機制，精進集團風險管理能力，期望在氣候變遷衝擊下，能積極
因應氣候相關風險，並掌握氣候機會衍生之商機，開創屬於合庫與各
利害關係人的淨零未來。
編製原則
　　本報告書是依據國際金融穩定委員會	 (Financial	 Stability	
Board,	FSB)	氣候相關財務揭露工作小組	 (Task	Force	on	Climate-
related	Financial	 Disclosures,	 TCFD)	建議框架及金融監督管理委
員會發布之「本國銀行氣候風險財務揭露指引」進行揭露。
報告書期間
　　本報告書為合庫金控第一本氣候相關財務揭露報告，歷年氣候相"
G-1-1,0.8120411346641195,"風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，
依循本公司治理原則管理氣候相關風險。 本公司氣候風險管理最高決策單位，確保建立及維持適當有效之氣候風險管理制度金控董事會
董事長
董事長銀行董事會永續經營委員會
永續金融小組
TCFD 工作小組氣候風險管理之統籌單位，
監督及指導集團氣候風險管
理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核"
G-1-1,0.80724200149318,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄48TCFD 面向 TCFD 建議揭露項目 本報告書對應章節
治理•	a. 董事會對氣候相關風險與機會的監督情況
1.1~1.4
•	b. 管理階層在評估和管理氣候相關風險與機會方面的角色
策略•	a. 組織已鑑別出之短、中、長期的氣候相關風險與機會 2.1
•	b. 氣候相關風險與機會對組織在業務、策略和財務規劃的影響 2.1~2.3
•	c. 組織在策略上的韌性，並考量不同氣候相關情境 ( 包括 2	℃或更嚴苛的情境 ) 2.2"
G-1-1,0.8014901381171968,"二、( 二 )董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保銀行訂定之定性及定量措施符合其風
險胃納。董事會應認知氣候風險對銀行財務之可能影響，並對確保建立及維持適當有效之氣候風險管理制度負有最終之責任。1.1,	1.2
二、( 三 )高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視其有效性與執行情形。持續監控銀行氣候風險之暴險狀
況，檢視銀行在不同氣候情境下之因應策略是否具有韌性。並應配置充分人力資源，施以適當合宜之訓練。1.1,	1.3"
G-1-2,0.8354968779215084,"資訊。風險管理委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成員，董事長及總經理皆為董事成員，藉由董事成員的監
管，達到董事會監督之目的。
(3)	合庫銀行資產負債管理暨業務發展委員會、投資企業暨買賣有價證券審議委員會及授信審議小組：各依其職掌及業務別，考量氣候相關風險
與機會，審議提案。1.2 資訊陳報機制
　　本公司定期向高階管理階層及董事會陳報氣候風險管理相關資訊。其中，各子公司依業務性質及資產規模，按季將氣候風險管理重要事項於其
風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會"
G-1-2,0.8116134073720067,"風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會
及董事會，依決議事項持續追蹤改善。倘發生重大異常氣候風險或特殊情況，則依本公司緊急事件危機處理相關規定採取因應措施。
1.3 知識與能力培育
　　合庫深知氣候知識建構的重要性，致力於增進治理階層及員工對
氣候風險議題的認知。2022年董事會成員參與各項氣候相關課程講
習，包括「全球淨零排放因應與企業ESG行動」、「氣候變遷與淨
零排放政策對企業經營的風險與機會」、「以金融支持產業轉型減碳
及達成淨零」、 「低碳經濟與企業低碳創新的全球趨勢與商機」、 「國"
G-1-2,0.8094123514287981,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-1-2,0.8087692326673703,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-1-2,0.801381051543496,"二、( 二 )董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保銀行訂定之定性及定量措施符合其風
險胃納。董事會應認知氣候風險對銀行財務之可能影響，並對確保建立及維持適當有效之氣候風險管理制度負有最終之責任。1.1,	1.2
二、( 三 )高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視其有效性與執行情形。持續監控銀行氣候風險之暴險狀
況，檢視銀行在不同氣候情境下之因應策略是否具有韌性。並應配置充分人力資源，施以適當合宜之訓練。1.1,	1.3"
G-1-2,0.8000107803720184,"與其衝擊，針對氣候相關風險與機會進行辨識、衡量、監督及控管程
序，並制訂因應策略以及指標目標。
風險管理委員會
氣候風險管理之統籌單位，負責監督及指導氣候風險管理執行情形，
審議氣候風險相關提案，並提報董事會氣候風險相關資訊。風險管理
委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成
員，董事長及總經理皆為董事成員，藉由董事成員的監管，達到董事
會監督之目的。
合庫銀行資產負債管理暨業務發展委員會、
投資企業暨買賣有價證券審議委員會及授信審議小組
各依其職掌及業務別，考量氣候相關風險與機會，審議提案。"
