指標名稱,相似度,片段內容
G-1-1,0.8486389291000692,"2.2ﾠ權責劃分與呈報機制
富邦針對營運過程中所面臨的風險，以整合性企業風險管理框架，建置完善的風險管理組織與制度，訂有風險管理政策並經董事會核定，據以落實風險管理，風險管理範疇包含信用風險、國家風險、
市場風險、作業風險、保險風險、資產負債暨流動性風險、信譽風險、新興風險與氣候變遷等各類風險，並關注全球環境與產業變化，以隨時因應、有效管理與減緩風險帶來的衝擊。
氣候治理架構及呈報機制如下：
金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報"
G-1-1,0.8433471288517234,"候相關議題，責任金融小組關注政府間氣候變化專門委員會 （ Intergovernmental Panel on Climate Change, IPCC ）、DJSI、
CDP、 SBTi 等國際組織、國內外評比標準及倡議掌握氣候變遷相關議題，不定期召開 ESG交流會分享相關資訊，並依據國內
外趨勢檢視策略、行動方案與目標，必要時進行調整，並依內部分層負責呈報高階管理階層或董事會核定。
審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會"
G-1-1,0.834323414828556,"審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會
由總經理擔任召集人、執行秘書 （風控長） 及委員若干人 （各子公司風險管理最高主管） 組成，負責監督本公司及子公司氣候
變遷風險管理，進行氣候變遷風險管理之審核、督導與協調。
風險控管處
統籌辦理氣候變遷相關財務揭露專案之推動，協調及督導子公司執行氣候變遷管理議題，每季納入風險管理報告，呈報風險"
G-1-1,0.8340507457921148,"業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色
董事會為推動永續發展之最高督導單位，建構企業永續文化，並監督永續相關計畫的推動與執行。為落實公司治理並提
升本公司董事會及功能性委員會功能，本公司制定 「董事會及功能性委員會績效評估政策」 ，績效評估方式分為內部與外
部評估，外部評估每三年委由外部專業獨立機構、外部專家學者團隊等方式辦理；內部評估每年由董事會及功能性委員"
G-1-1,0.8282703582024062,"氣候變遷相關風險與機會的能力成為企業永續經營的關鍵之一。而完善的公司治理則是企業永續經營的基礎，金融監督
管理委員會2021年推出 《公司治理3.0-永續發展藍圖》 ，並於2022年發布 《上市櫃公司永續發展路徑圖》 、 《綠色金融行
動方案 3.0》 ，以 「落實公司治理及營造健全 ESG 生態體系」 為核心願景，要求企業強化董事會組織運作和職責，並推動企
業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色"
G-1-1,0.8281560664859569,"金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報
責任金融執行計畫與執行情形
永續經營 （ESG ）執行小組
風險控管處• 建置氣候變遷管理程序
• 鑑別氣候風險與機會
• 制定與修訂氣候相關章程
風險管理委員會
每季呈報金控風險管理報告
（含氣候變遷管理議題 ）總經理 （ESG執行小組執行長 ）
責任金融小組
（組長：風險控管處處長 ）• 責任投資
• 永續授信
• 氣候變遷相關財務揭露
 （TCFD ）
董事會"
G-1-2,0.8542822235282839,"2.2ﾠ權責劃分與呈報機制
富邦針對營運過程中所面臨的風險，以整合性企業風險管理框架，建置完善的風險管理組織與制度，訂有風險管理政策並經董事會核定，據以落實風險管理，風險管理範疇包含信用風險、國家風險、
市場風險、作業風險、保險風險、資產負債暨流動性風險、信譽風險、新興風險與氣候變遷等各類風險，並關注全球環境與產業變化，以隨時因應、有效管理與減緩風險帶來的衝擊。
氣候治理架構及呈報機制如下：
金控董事會
董事長公司治理及永續委員會
（委員由董事長及獨立董事組成 ）審計委員會 
（委員由獨立董事組成 ）
總經理 （風險管理委員會召集人 ）每半年呈報ESG執行計畫
與執行情形
每半年呈報"
G-1-2,0.8442896061414118,"業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色
董事會為推動永續發展之最高督導單位，建構企業永續文化，並監督永續相關計畫的推動與執行。為落實公司治理並提
升本公司董事會及功能性委員會功能，本公司制定 「董事會及功能性委員會績效評估政策」 ，績效評估方式分為內部與外
部評估，外部評估每三年委由外部專業獨立機構、外部專家學者團隊等方式辦理；內部評估每年由董事會及功能性委員"
G-1-2,0.8442857286313488,"氣候變遷相關風險與機會的能力成為企業永續經營的關鍵之一。而完善的公司治理則是企業永續經營的基礎，金融監督
管理委員會2021年推出 《公司治理3.0-永續發展藍圖》 ，並於2022年發布 《上市櫃公司永續發展路徑圖》 、 《綠色金融行
動方案 3.0》 ，以 「落實公司治理及營造健全 ESG 生態體系」 為核心願景，要求企業強化董事會組織運作和職責，並推動企
業將低碳轉型及氣候韌性納入企業永續經營的重點項目，系統性審視可能的風險與機會，並研擬對應氣候風險策略，凸
顯氣候治理架構於氣候變遷議題上扮演至關重要的角色。
董事會扮演的角色"
G-1-2,0.8432679665335078,"候相關議題，責任金融小組關注政府間氣候變化專門委員會 （ Intergovernmental Panel on Climate Change, IPCC ）、DJSI、
CDP、 SBTi 等國際組織、國內外評比標準及倡議掌握氣候變遷相關議題，不定期召開 ESG交流會分享相關資訊，並依據國內
外趨勢檢視策略、行動方案與目標，必要時進行調整，並依內部分層負責呈報高階管理階層或董事會核定。
審計委員會
以監督公司內部控制有效實施、法規遵循程序及計畫之妥適性以及存在或潛在風險之管控等為主要目的，金控每季風險管理
報告均呈報至審計委員會後提報董事會。
風險管理委員會"
